category,query_id,target_id,target_rank,target_score,top1_id,top1_score,top1_top2_margin
dress,B005X4PL1G,B0084Y8XIU,35,0.20699326694011688,B0055TBPNC,0.34359636902809143,0.02559521794319153
dress,B008XODTD0,B00AKLK08G,7,0.2662990987300873,B00E4SYADC,0.29575222730636597,0.013066411018371582
dress,B00BPYP69K,B00CMPE0C0,2732,-0.004892965313047171,B00F14WRSS,0.29256945848464966,0.0073226094245910645
dress,B000QSGNOI,B004UO3XYC,4,0.25308316946029663,B005VAE7RG,0.2639736533164978,0.0016106367111206055
dress,B00FQANLX2,B007U6KROG,42,0.1944701224565506,B00824GAP0,0.2788672149181366,0.012404650449752808
dress,B00CL14N3Q,B004KHOPDW,1622,0.048565659672021866,B007WATKGG,0.2844392955303192,0.010047703981399536
dress,B009CMY4BS,B0091PLEKA,88,0.1894744485616684,B007N0B248,0.3100438714027405,0.0047127604484558105
dress,B00896JPTE,B004P7TNIY,27,0.243872731924057,B00C3I0548,0.3222489356994629,0.025687217712402344
dress,B00F4WI9H0,B0077SM1Z0,1735,0.0302034392952919,B006J42TFU,0.2917097210884094,0.022952556610107422
dress,B000WIRE54,B007UYY43I,1656,0.04719269648194313,B0007WIZYE,0.26948603987693787,0.028317928314208984
dress,B009KQVCAM,B00A0I6GSC,1,0.38874512910842896,B00A0I6GSC,0.38874512910842896,0.018209636211395264
dress,B00FHFMMMW,B00F5DPMIM,3,0.23803061246871948,B008G0E9UI,0.24601511657238007,0.004999071359634399
dress,B00DH06JSW,B00C0X5FG4,4,0.29003018140792847,B00CII41EI,0.30149218440055847,0.00491449236869812
dress,B008YIZM80,B005OOUCLE,75,0.1956266164779663,B007SVFCAW,0.3446706533432007,0.018399715423583984
dress,B009DI5YSS,B008MNM7Y4,1935,0.026307418942451477,B00AWMQ8X4,0.28785449266433716,0.010859787464141846
dress,B007GB2BZI,B009S5XX0M,18,0.23480191826820374,B006LWGYK6,0.3514033555984497,0.035882651805877686
dress,B005GYSR64,B004JU0AF2,33,0.21991494297981262,B004T90LFM,0.35121750831604004,0.014345943927764893
dress,B00CW6HT7W,B00DVH1QS4,20,0.2011910378932953,B005N4KUIA,0.2510322630405426,0.00733909010887146
