R@10,R@50,duration_seconds,epoch,evaluated,lr_composition,lr_image_encoder,lr_text_encoder,peak_allocated_gib,peak_reserved_gib,timestamp_utc,train_loss
,,135.292,1,False,0.0003,1e-05,1e-05,5.374,5.596,2026-07-14T03:56:38.483117+00:00,1.764696126315683
,,127.084,2,False,0.00029979511544580873,9.993832906395583e-06,9.993832906395583e-06,5.366,5.596,2026-07-14T03:58:49.924814+00:00,1.5149356720441165
,,126.979,3,False,0.0002991810233575568,9.97534852915723e-06,9.97534852915723e-06,5.381,5.596,2026-07-14T04:01:23.907286+00:00,1.2257803864976302
,,125.201,4,False,0.00029815940691897306,9.94459753267812e-06,9.94459753267812e-06,5.368,5.596,2026-07-14T04:03:47.079221+00:00,1.0377407844531983
11.579980372914623,30.471050049067717,318.853,5,True,0.0002967330663097039,9.901664203302126e-06,9.901664203302126e-06,5.382,5.596,2026-07-14T04:09:27.161302+00:00,0.9542167816251357
,,125.982,6,False,0.00029490591103021566,9.846666218300808e-06,9.846666218300808e-06,5.382,5.596,2026-07-14T04:11:51.521121+00:00,0.891296977187223
,,125.925,7,False,0.0002926829491861254,9.779754323328192e-06,9.779754323328192e-06,5.369,5.596,2026-07-14T04:14:14.377329+00:00,0.8381695245357759
,,126.408,8,False,0.0002900702737613316,9.701111919237408e-06,9.701111919237408e-06,5.364,5.596,2026-07-14T04:16:38.360948+00:00,0.7990829860144121
,,127.38,9,False,0.00028707504591756876,9.610954559391704e-06,9.610954559391704e-06,5.381,5.596,2026-07-14T04:18:59.298089+00:00,0.7718679987810513
14.67124631992149,37.63493621197252,143.025,10,True,0.0002837054753661609,9.509529358847657e-06,9.509529358847657e-06,5.37,5.596,2026-07-14T04:21:40.689402+00:00,0.740287148936547
,,126.606,11,False,0.00027997079786577355,9.397114317029977e-06,9.397114317029977e-06,5.366,5.596,2026-07-14T04:24:21.610219+00:00,0.7204069739835147
,,129.176,12,False,0.00027588124990784085,9.27401755575441e-06,9.27401755575441e-06,5.382,5.596,2026-07-14T04:26:45.177230+00:00,0.7018615370765727
,,126.919,13,False,0.0002714480406590546,9.140576474687265e-06,9.140576474687265e-06,5.382,5.596,2026-07-14T04:29:11.398585+00:00,0.6908500625647326
,,125.261,14,False,0.00026668332123781714,8.99715682655637e-06,8.99715682655637e-06,5.372,5.596,2026-07-14T04:31:35.363284+00:00,0.6718127207163184
15.554465161923453,38.61629048086359,143.836,15,True,0.00026160015140887043,8.844151714648274e-06,8.844151714648274e-06,5.382,5.596,2026-07-14T04:34:15.680098+00:00,0.6673960255429069
,,133.747,16,False,0.00025621246378738883,8.681980515339464e-06,8.681980515339464e-06,5.381,5.596,2026-07-14T04:37:51.337182+00:00,0.658941956764874
,,133.534,17,False,0.0002505350256506493,8.511087728614861e-06,8.511087728614861e-06,5.373,5.596,2026-07-14T04:40:21.516849+00:00,0.6368609759259352
,,129.617,18,False,0.00024458339846195065,8.331941759724268e-06,8.331941759724268e-06,5.382,5.596,2026-07-14T04:42:44.348438+00:00,0.628608856848217
,,128.078,19,False,0.00023837389521772466,8.145033635316128e-06,8.145033635316128e-06,5.362,5.596,2026-07-14T04:45:08.151508+00:00,0.6268933023360961
15.554465161923453,38.42001962708538,145.078,20,True,0.00023192353573474648,7.950875657567622e-06,7.950875657567622e-06,5.375,5.596,2026-07-14T04:47:52.097838+00:00,0.6143367243482467
,,122.975,21,False,0.00022524999999999992,7.75e-06,7.75e-06,5.368,5.596,2026-07-14T04:50:13.413047+00:00,0.6097656284424073
