prompt_id,probe_id,scenario,category,query_id,target_id,max_similarity,top1_top2_margin,top1_id
shirt_q01_s01,shirt_q01,in_domain,shirt,B003JY6WY2,B004JHRX5A,0.35157787799835205,0.0032287538051605225,B004G71M28
shirt_q01_s02,shirt_q01,paraphrase,shirt,B003JY6WY2,B004JHRX5A,0.3352622389793396,0.01943141222000122,B004G71M28
shirt_q01_s03,shirt_q01,identity,shirt,B003JY6WY2,B004JHRX5A,0.29720187187194824,0.010227441787719727,B0013EG76S
shirt_q01_s04,shirt_q01,contradiction,shirt,B003JY6WY2,B004JHRX5A,0.3127264678478241,0.017256826162338257,B0033AG7DS
shirt_q01_s05,shirt_q01,ood,shirt,B003JY6WY2,B004JHRX5A,0.29780352115631104,0.024644583463668823,B00C2RX5QU
shirt_q01_s06,shirt_q01,unsatisfiable,shirt,B003JY6WY2,B004JHRX5A,0.27872592210769653,0.003597259521484375,B0018EEU3A
shirt_q02_s01,shirt_q02,in_domain,shirt,B0051D0X2Q,B003INE0Q6,0.38265347480773926,0.006579339504241943,B008TOOBWW
shirt_q02_s02,shirt_q02,paraphrase,shirt,B0051D0X2Q,B003INE0Q6,0.35450077056884766,0.006260693073272705,B00A3OSBJ0
shirt_q02_s03,shirt_q02,identity,shirt,B0051D0X2Q,B003INE0Q6,0.3515176773071289,0.008497059345245361,B0079085BA
shirt_q02_s04,shirt_q02,contradiction,shirt,B0051D0X2Q,B003INE0Q6,0.27916234731674194,0.02125602960586548,B003AQK8G2
shirt_q02_s05,shirt_q02,ood,shirt,B0051D0X2Q,B003INE0Q6,0.2712780237197876,0.00783798098564148,B000INV8FK
shirt_q02_s06,shirt_q02,unsatisfiable,shirt,B0051D0X2Q,B003INE0Q6,0.26474374532699585,0.005445659160614014,B00BT90QDW
shirt_q03_s01,shirt_q03,in_domain,shirt,B00B31W2TC,B00B2JD2CQ,0.3460180163383484,0.01950886845588684,B00BS7FFQ8
shirt_q03_s02,shirt_q03,paraphrase,shirt,B00B31W2TC,B00B2JD2CQ,0.31611907482147217,0.006065040826797485,B00AQR2JM4
